,sh.600000,sh.600016,sh.600019,sh.600028,sh.600029,sh.600030,sh.600031,sh.600036,sh.600048,sh.600050,sh.600104,sh.600196,sh.600276,sh.600309,sh.600340,sh.600519,sh.600585,sh.600690,sh.600703,sh.600837,sh.600887,sh.601066,sh.601088,sh.601111,sh.601138,sh.601166,sh.601186,sh.601211,sh.601229,sh.601288,sh.601318,sh.601319,sh.601328,sh.601336,sh.601390,sh.601398,sh.601601,sh.601628,sh.601668,sh.601688,sh.601766,sh.601800,sh.601818,sh.601857,sh.601888,sh.601939,sh.601988,sh.601989,sh.603259,sh.603993
2015-01-12,0.009098773678966394,0.009896744295314432,0.0062794554848431,0.010598130991823341,-0.025106752919240298,0.006755907616226625,0.0043701907957643706,-0.00621139896050586,0.018153557959321096,-0.009104979283028091,0.005460962001144785,0.002278134108389937,-0.0047116512751952675,-0.01209170762194153,0.011433882589816542,0.0074977229663330406,-0.007502209016934703,-0.010396777326981476,0.0018704755255670048,0.004717804547429018,-0.0015034750636494026,,0.012878785209140452,-0.03645050450982093,,0.01099670636900487,0.009372426091860649,,,0.01847716691436188,-0.005289044962886812,,0.016233493502614698,-0.017352628777791063,0.012482005067240984,0.004319731558877181,-0.012522403368114823,-0.022065169492299704,0.0032115389027855545,0.0013093565130669132,0.016642576974998092,-0.010977259035974844,0.015659062468803137,0.00942191124161905,-0.003656639247101183,0.011903218788303312,0.02950807609677106,-0.0023485703846071637,,-0.005162634078807085
2015-01-13,-0.0038776814897291782,0.006790543613719554,0.004881148623757249,0.008291157583981034,-0.0070300369018491465,-0.008782785947180415,-0.004106954107457879,0.0031981971321879844,0.005086770478019472,0.005586012184010843,0.008437086437944451,0.008923032687946475,-0.0037848019092130963,-0.0018846871634401047,-0.0043911373807484135,0.005839767349132313,-0.003166707011845675,-0.011229777237248792,0.021145819709722187,-0.006179644107170129,-0.0057575853402679995,,-0.0032457121776415837,-0.017616641044661596,,0.005603658936072467,0.0005387991745228332,,,0.007623925110659245,-0.002401231155839741,,-0.005980780229553841,-0.0037378214570074173,-0.0005619070407836529,0.003716046282242289,0.0067314214415888024,-0.00964019767040837,-0.0017541463579481972,-0.008837243278912627,-0.04363270874769862,0.006052181506934647,-0.0042636436274945365,-0.00853983666773494,0.01097247094868385,-0.0016194335523029135,-0.013786707610152556,-0.00810658753298829,,0.007176824587637762
2015-01-14,0.0012658229538299007,0.0055774762370530105,0.0024663966134565837,0.032395427477092516,-0.005732331022313238,-0.030363045564564532,-0.0017591114635242613,-7.107988513351503e-05,-0.009320331008219222,-3.4694469519536136e-17,0.012662296344022621,0.005069228040202484,-0.004564843787477378,0.005723769042932189,-0.022259048058917687,-0.010980262242909359,0.006817266434208141,-0.014938683009737712,0.011761992186577686,-0.027278760450762177,0.0033312207300422985,,0.012013686843143856,-0.02528356069086013,,-0.00135817580853723,-0.012676316619478906,,,-0.0055014100103725,-0.0048854788377166785,,-0.0046070937298882,-0.015857932462322782,-0.002351762049232755,0.0039761483796395825,-0.0003400304734851832,-0.004267984413224228,-0.004758137446417002,-0.026357485717786608,0.0039062549670649815,-0.008312061223288491,-0.0001091286081727847,0.05467660606496655,-0.018957086747938348,-0.007846324734306952,0.002233992262756673,-0.009573618438447123,,-0.023847059803458515
2015-01-15,-0.013356307724390564,-0.012731257265597314,-0.01554539782311844,-0.036260296202332364,-0.02011223814981893,-0.019749679423348026,-0.022860974085773204,-0.014514374387880953,-0.037117515619291365,-0.0218741741862744,-0.01433760757425739,-0.007644977264572274,-0.007683255850575285,-0.0149903183458879,-0.00553570070215441,-0.006983175396369099,-0.012700657941992913,-0.00275104651573407,-0.009454178830224577,-0.02254740417790024,-0.016424986626713583,,-0.02178930817603564,-0.026341961896999326,,-0.022419191750149985,-0.012286729493577508,,,-0.018385600664725298,-0.005402125925413307,,-0.011909699759730556,-0.010312762819267858,-0.021047678916447102,-0.02408938489567504,-0.000935350467341032,-0.008508521116323435,-0.02404346254316158,-0.008502314463676542,-1.249000902703301e-16,-0.016579128802911246,-0.02140037039948561,-0.047722620393690386,-0.008939149384258025,-0.021678909313676213,-0.03853798376146966,-0.020843998207218176,,-0.014389078981194485
2015-01-16,-0.03336143662594615,-0.0354330802997386,-0.03669556439812381,-0.03357959382805641,-0.03593073937290113,-0.03951163963987442,-0.02672856264674429,-0.039922169729381146,-0.05821820722233718,-0.03931770816960621,-0.023859668751941582,-0.028695129366001007,-0.0338985524072829,-0.034608098273721605,-0.025028083891644376,-0.022741675443794133,-0.024913716026525742,-0.033499471449383866,-0.004880948919443689,-0.039847533338919175,-0.02174065703591375,,-0.04305200141360183,-0.03028835006480953,,-0.04467947669906348,-0.024831797556838026,,,-0.05181228169410794,-0.04221417700827092,,-0.054256583338139874,-0.04133972776178542,-0.028509523768113564,-0.03828697826947732,-0.04896380788667773,-0.005827747500909298,-0.0281359110147882,-0.03771265267065234,-1.249000902703301e-16,-0.02606528528332557,-0.042593907383597515,-0.02398586660330064,-0.03920552811490506,-0.04578264310547642,-0.048536751211288184,-0.0586707971987509,,-0.05969120190324623
2015-01-19,-0.00785344350557027,-0.008968669982760344,-0.013187945828654894,-0.01059813099182343,0.02331944234514443,-0.014801928034677269,-0.003372684478639171,-0.005798861377171248,-0.010561788051108592,-0.006320304703420501,-0.022448616100530196,-0.001341884976276398,-0.01020651942157207,0.01938163552964957,-0.035861802635211264,-0.02042548818009796,-0.005246286989224247,0.005922609804387628,-0.0011876485956561539,-0.012227226569560018,0.0020992233836907947,,-0.012878785209140368,0.03645050450982113,,-0.006838696220341335,-0.012035543511344051,,,-0.008141157583700015,-0.004380441065601502,,-0.007686432924155973,,-0.014670189747794259,-0.008264509849893395,-0.007998762851370043,0.018551256652598186,-0.014051753455650282,-0.009820046180975546,-0.09516500241252418,0.002886004889135065,-0.01971586316441744,-0.01029641938655138,-0.009317073297680679,-0.0031948908965189343,-0.013544225107757088,-0.008211189830394476,,-0.015246237552400087
2015-01-20,-0.0094340572760881,0.001091738219729306,0.002937801620245317,-0.0018452736458182684,-0.01628317326343444,0.0033016963669768172,0.005173583130402903,-0.006695780162558921,-0.004869996916005412,-0.006749262902623444,-0.0031113610940529147,-0.002343354140991384,0.00506866320453186,0.001514135652540237,-0.019419983610744027,0.004990664060750685,-0.006461834567285479,-0.004461296179595477,-0.007872642311455137,-0.00865725527740762,0.007063139025297823,,-0.004730745795861,-0.030328566549628524,,-0.005770896531473685,0.007754709287393927,,,-0.008438868645864591,-0.007267079037349415,,-0.006215970459123862,,-0.005112054212919378,-0.006676332017046302,-0.003289112720865973,-0.01889595815745616,-0.000158215331395508,0.0018321006104636895,0.043632708747698604,0.0032366952541780965,-0.004838636093944422,-0.005917172710818185,-0.014730332426746713,-0.006833702158755313,0.006882763829257087,0.006874301486723888,,-0.0032181501937022646
2015-01-21,-0.008293508461916541,-0.0009933973283039917,0.0015801135132435774,0.00606986329776542,0.005385232793367962,0.019683710517556127,-0.007016137941272657,-0.002693080065249825,0.022720605103364468,2.8102520310824275e-16,-0.020986041783813983,-0.0073279156241363155,-0.0020885753575220576,0.012467079548488936,0.015615639458159428,0.007134651935481344,-0.0030559010759853076,0.0129687798833758,-0.017148105759981044,0.015826692550693258,-0.009396544578500796,,-0.005881024422331113,0.01605887986801767,,-0.0027814565275642664,-0.0006493390884094418,,,-0.002591353798649889,-0.011892255608646565,,-0.0027165858497300265,,-0.004844229006126341,-0.014329825554824975,0.0025839807659246558,0.005175837403404257,-3.037928538027093e-05,0.025716380252220467,0.013868830872508413,0.0038966475950388928,-0.006853639453608951,-0.0005969530438073857,0.013724130885905371,-0.003276293255706069,-0.016395359626575255,-0.011882172237874595,,0.01317252855653842
2015-01-22,0.00555078466080698,0.010787711466381059,0.017289164065636617,0.01763370311630679,0.011029523575499738,-0.0047981479628927655,0.01801348912704391,0.008180500293486253,0.030799535950950706,0.0059996858501143715,0.00939191329523912,0.004073357634270754,0.010412441724637369,0.010358063451923446,0.02456811641321214,0.00263216452926,0.008385404748958648,-0.0028111168685865232,-0.022459539855388542,-0.01728510950890692,0.010133480450993446,,0.01714754220906256,0.017394381093669406,,0.01680180533110795,0.003984855661589378,,,0.010353428967461014,-0.0032198382647720594,,0.002956040420954524,,0.009537909593746566,0.013790632695100582,-0.010707271718454968,-0.014172410511520591,0.012103022171243684,-0.022593838085609327,0.0014044946128984606,0.005864363981790764,0.010471299867295331,0.03467049168638235,0.0032258260115103307,0.013835731852650246,0.02912078560836486,0.023051067380770868,,0.005402498283348047
2015-01-23,-0.006017014833820372,-0.011656509448218728,-0.004669269183683558,-0.00272969065408326,-0.0019628058235029717,-0.005032270121978486,0.0012452194084319743,-0.0012307693861328135,0.0009037506263568225,9.940851939215996e-05,-0.00854332619275696,0.0008207637896167994,0.0007713074042238399,0.004397288696621217,-0.026148704243381175,-0.0050469293185540715,-0.006551224697329302,-0.0031090280236858053,0.00347872516380901,-0.007592073896816067,-0.002143177218031364,,-0.0008517467719943144,-0.0109556786609751,,-0.005993476825485936,-0.002015452479349855,,,-0.005212233373904352,-0.022040930251006712,,-0.005454213043382932,,-0.001173020662363423,-0.009832491895472452,-0.032527681553083415,-0.02835203493144124,-0.0014958865915828126,-0.00581509682851925,0.005763704716749985,-0.01303926517169228,-0.006378509570951636,-0.014961299860984153,-0.0043823787663259,-0.003007521063955285,-0.010068295731134871,0.01775851330098016,,0.012785103020884996
